tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,APAF,11,0.090909,0.000000,0.000000,33,MEDIUM
2,APAF,11,0.181818,0.079407,0.007219,33,MEDIUM
3,APAF,11,0.272727,0.124866,0.011351,33,MEDIUM
4,APAF,11,0.363636,1.176471,1.085500,22,TIGHT
5,APAF,11,0.454545,0.142139,0.012922,22,TIGHT
6,APAF,11,0.500000,0.145251,0.013205,20,TIGHT
7,APAF,11,0.600000,0.694444,0.644807,20,TIGHT
8,APAF,11,0.700000,0.613497,0.571515,20,TIGHT
9,APAF,11,0.800000,0.166925,0.015175,20,TIGHT
10,APAF,11,0.900000,0.170586,0.015508,20,TIGHT
11,APAF,11,1.000000,0.000000,0.000000,22,TIGHT
12,APAF,11,0.935065,0.000000,0.000000,22,TIGHT
13,APAF,11,0.808612,0.000000,0.000000,22,TIGHT
14,APAF,11,0.685315,0.000000,0.000000,22,TIGHT
15,APAF,11,0.584416,0.352113,0.320102,22,TIGHT
16,APAF,11,0.930769,0.333333,0.303030,20,TIGHT
17,APAF,11,0.900000,0.000000,0.000000,20,TIGHT
18,APAF,11,0.889474,0.000000,0.000000,20,TIGHT
19,APAF,11,0.890909,0.000000,0.000000,20,TIGHT
20,APAF,11,0.900000,0.277778,0.252525,20,TIGHT
21,APAF,11,0.657228,0.000000,0.000000,22,TIGHT
22,APAF,11,0.594595,0.000000,0.000000,22,TIGHT
23,APAF,11,0.540347,0.000000,0.000000,22,TIGHT
24,APAF,11,0.493997,0.240964,0.219058,22,TIGHT
25,APAF,11,0.454545,0.000000,0.000000,22,TIGHT
26,APAF,11,0.914286,0.226757,0.206143,20,TIGHT
27,APAF,11,0.932258,0.000000,0.000000,20,TIGHT
28,APAF,11,0.952941,0.000000,0.000000,30,MEDIUM
29,APAF,11,0.975676,0.209644,0.190585,30,MEDIUM
30,APAF,11,1.000000,0.204499,0.185908,30,MEDIUM
31,APAF,11,0.542631,0.399202,0.362911,33,MEDIUM
32,APAF,11,0.505929,0.585938,0.532670,22,TIGHT
33,APAF,11,0.473684,0.573614,0.521467,22,TIGHT
34,APAF,11,0.445300,0.375235,0.341122,22,TIGHT
35,APAF,11,0.420240,0.367647,0.334225,22,TIGHT
36,APAF,11,0.980000,0.361011,0.328192,30,MEDIUM
37,APAF,11,0.968000,0.531915,0.483559,30,MEDIUM
38,APAF,11,0.961818,0.522648,0.475135,30,MEDIUM
39,APAF,11,0.960000,0.684932,0.622665,30,MEDIUM
40,APAF,11,0.961538,0.843170,0.766518,30,MEDIUM
41,APAF,11,0.476069,0.830565,0.755059,33,MEDIUM
42,APAF,11,0.453005,0.980392,0.891266,33,MEDIUM
43,APAF,11,0.432110,0.967742,0.879765,33,MEDIUM
44,APAF,11,0.413146,1.112878,1.011707,22,TIGHT
45,APAF,11,0.427125,1.098901,0.999001,22,TIGHT
46,APAF,11,0.972000,1.083591,0.985083,20,TIGHT
47,APAF,11,0.980000,1.070336,0.973033,20,TIGHT
48,APAF,11,0.989412,1.057402,0.961274,30,MEDIUM
49,APAF,11,1.000000,1.194030,1.085482,30,MEDIUM
50,APAF,11,0.990722,1.181684,1.074258,30,MEDIUM
51,APAF,11,0.475764,1.313869,1.194426,33,MEDIUM
52,APAF,11,0.456911,1.300578,1.182344,22,TIGHT
53,APAF,11,0.439524,1.287554,1.170503,22,TIGHT
54,APAF,11,0.423468,1.274788,1.158898,22,TIGHT
55,APAF,11,0.408618,1.262272,1.147520,22,TIGHT
56,APAF,11,0.984615,1.112656,1.011506,30,MEDIUM
57,APAF,11,0.981081,1.239669,1.126972,30,MEDIUM
58,APAF,11,0.979661,1.229508,1.117735,30,MEDIUM
59,APAF,11,0.980000,1.488498,1.353180,30,MEDIUM
60,APAF,11,0.981818,1.476510,1.342282,40,LOOSE
61,APAF,11,0.446860,1.464714,1.331558,44,LOOSE
62,APAF,11,0.432493,1.453104,1.321004,44,LOOSE
63,APAF,11,0.419069,1.312336,1.193033,44,LOOSE
64,APAF,11,0.406511,1.302083,1.183712,33,MEDIUM
65,APAF,11,0.416133,1.293661,1.176056,33,MEDIUM
66,APAF,11,0.989041,1.540436,1.400397,30,MEDIUM
67,APAF,11,0.994118,1.530612,1.391466,30,MEDIUM
68,APAF,11,1.000000,1.647655,1.497868,40,LOOSE
69,APAF,11,0.994675,1.511335,1.373941,40,LOOSE
70,APAF,11,0.991011,1.501877,1.365343,40,LOOSE
71,APAF,11,0.449728,1.492537,1.356852,44,LOOSE
72,APAF,11,0.437173,1.483313,1.348466,33,MEDIUM
