tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,APAF,50,0.020000,0.000000,0.000000,150,MEDIUM
2,APAF,50,0.040000,0.000000,0.000000,150,MEDIUM
3,APAF,50,0.060000,0.000000,0.000000,150,MEDIUM
4,APAF,50,0.080000,1.176471,1.176471,100,TIGHT
5,APAF,50,0.100000,0.000000,0.000000,100,TIGHT
6,APAF,50,0.120000,0.000000,0.000000,100,TIGHT
7,APAF,50,0.140000,0.694444,0.694444,100,TIGHT
8,APAF,50,0.160000,0.613497,0.613497,100,TIGHT
9,APAF,50,0.180000,0.000000,0.000000,100,TIGHT
10,APAF,50,0.200000,0.000000,0.000000,100,TIGHT
11,APAF,50,0.220000,0.000000,0.000000,100,TIGHT
12,APAF,50,0.240000,0.000000,0.000000,100,TIGHT
13,APAF,50,0.260000,0.000000,0.000000,100,TIGHT
14,APAF,50,0.280000,0.000000,0.000000,100,TIGHT
15,APAF,50,0.300000,0.352113,0.352113,100,TIGHT
16,APAF,50,0.320000,0.333333,0.333333,100,TIGHT
17,APAF,50,0.340000,0.000000,0.000000,100,TIGHT
18,APAF,50,0.360000,0.000000,0.000000,100,TIGHT
19,APAF,50,0.380000,0.000000,0.000000,100,TIGHT
20,APAF,50,0.400000,0.277778,0.277778,100,TIGHT
21,APAF,50,0.420000,0.000000,0.000000,100,TIGHT
22,APAF,50,0.440000,0.000000,0.000000,100,TIGHT
23,APAF,50,0.460000,0.000000,0.000000,100,TIGHT
24,APAF,50,0.480000,0.240964,0.240964,100,TIGHT
25,APAF,50,0.500000,0.000000,0.000000,100,TIGHT
26,APAF,50,0.520000,0.226757,0.226757,100,TIGHT
27,APAF,50,0.540000,0.000000,0.000000,100,TIGHT
28,APAF,50,0.560000,0.000000,0.000000,100,TIGHT
29,APAF,50,0.580000,0.000000,0.000000,100,TIGHT
30,APAF,50,0.600000,0.000000,0.000000,100,TIGHT
31,APAF,50,0.620000,0.199601,0.199601,100,TIGHT
32,APAF,50,0.640000,0.195312,0.195312,100,TIGHT
33,APAF,50,0.660000,0.191205,0.191205,100,TIGHT
34,APAF,50,0.680000,0.000000,0.000000,100,TIGHT
35,APAF,50,0.700000,0.183824,0.183824,100,TIGHT
36,APAF,50,0.720000,0.000000,0.000000,100,TIGHT
37,APAF,50,0.740000,0.000000,0.000000,100,TIGHT
38,APAF,50,0.760000,0.000000,0.000000,100,TIGHT
39,APAF,50,0.780000,0.171233,0.171233,100,TIGHT
40,APAF,50,0.800000,0.000000,0.000000,100,TIGHT
41,APAF,50,0.820000,0.000000,0.000000,100,TIGHT
42,APAF,50,0.840000,0.163399,0.163399,100,TIGHT
43,APAF,50,0.860000,0.000000,0.000000,100,TIGHT
44,APAF,50,0.880000,0.158983,0.158983,100,TIGHT
45,APAF,50,0.900000,0.000000,0.000000,100,TIGHT
46,APAF,50,0.920000,0.154799,0.154799,100,TIGHT
47,APAF,50,0.940000,0.152905,0.152905,100,TIGHT
48,APAF,50,0.960000,0.151057,0.151057,150,MEDIUM
49,APAF,50,0.980000,0.298507,0.298507,150,MEDIUM
50,APAF,50,1.000000,0.295421,0.295421,150,MEDIUM
51,APAF,50,0.981509,0.437956,0.437956,150,MEDIUM
52,APAF,50,0.965714,0.578035,0.578035,150,MEDIUM
53,APAF,50,0.952203,0.715308,0.715308,150,MEDIUM
54,APAF,50,0.940645,0.708215,0.708215,150,MEDIUM
55,APAF,50,0.930769,0.841515,0.841515,150,MEDIUM
56,APAF,50,0.922353,0.834492,0.834492,150,MEDIUM
57,APAF,50,0.915211,0.964187,0.964187,150,MEDIUM
58,APAF,50,0.909189,1.092896,1.092896,150,MEDIUM
59,APAF,50,0.904156,1.217862,1.217862,150,MEDIUM
60,APAF,50,0.900000,1.342282,1.342282,150,MEDIUM
61,APAF,50,0.896627,1.331558,1.331558,150,MEDIUM
62,APAF,50,0.893953,1.453104,1.453104,150,MEDIUM
63,APAF,50,0.891910,1.443570,1.443570,150,MEDIUM
64,APAF,50,0.890435,1.562500,1.562500,100,TIGHT
65,APAF,50,0.889474,1.423027,1.423027,100,TIGHT
66,APAF,50,0.888980,1.540436,1.540436,100,TIGHT
67,APAF,50,0.888911,1.403061,1.403061,100,TIGHT
68,APAF,50,0.889231,1.394170,1.394170,100,TIGHT
69,APAF,50,0.889907,1.385390,1.385390,100,TIGHT
70,APAF,50,0.890909,1.376721,1.376721,100,TIGHT
71,APAF,50,0.892212,1.368159,1.368159,100,TIGHT
72,APAF,50,0.893793,1.359703,1.359703,100,TIGHT
73,APAF,50,0.895630,1.230012,1.230012,100,TIGHT
74,APAF,50,0.897705,1.222494,1.222494,100,TIGHT
75,APAF,50,0.900000,1.216545,1.216545,100,TIGHT
76,APAF,50,0.902500,1.209190,1.209190,100,TIGHT
77,APAF,50,0.905191,1.203369,1.203369,100,TIGHT
78,APAF,50,0.908060,1.077844,1.077844,100,TIGHT
79,APAF,50,0.911095,1.072706,1.072706,100,TIGHT
80,APAF,50,0.914286,1.067616,1.067616,100,TIGHT
